Model,R_V4_encoding_synthetic,R_IT_encoding_synthetic,R_V1_encoding_synthetic,R_V2_encoding_synthetic,R_V4_encoding_illusion,R_IT_encoding_illusion,R_V1_encoding_illusion,R_V2_encoding_illusion,%R2_V4_rsa_synthetic,%R2_IT_rsa_synthetic,%R2_V1_rsa_synthetic,%R2_V2_rsa_synthetic,%R2_V4_rsa_illusion,%R2_IT_rsa_illusion,%R2_V1_rsa_illusion,%R2_V2_rsa_illusion
VGG11,-1.9712805083771059,-1.661904847253357,-0.947076130584712,-0.8570656645648214,-0.3631803733911596,-0.419879630494318,0.22173692660231126,0.21309912829965327,-8.075913052421626,-6.763182543155359,0.4019402274169792,-0.8459495306132752,-19.17161821330275,-7.793068212047814,-8.24163210571826,-9.534002074725613
VGG11_bn,-1.2515773533559695,-0.6171165240400285,-0.4674270898255486,-0.8211245348397327,-0.774740387783595,-0.297757866012315,-0.4924486348903727,-0.5026958658049523,-10.429981872016036,-5.833605533697039,-4.766904088019118,-6.611306272468873,-17.48875631449647,-11.789255513340684,-9.628904344247097,-6.53301637362938
VGG13,-1.659141234230745,-1.4660951333806942,-1.1482682025251592,-2.0602925676343062,-0.5435544286542182,-0.4423095036926519,-0.4987276203023683,-0.4226894632583438,-5.398408156900068,-5.917690972734128,-8.363341955238056,-0.813469620179653,-17.705234752770018,-11.848615057446906,-8.374615826837093,-10.069838694071727
VGG13_bn,-0.6190222517430115,-0.4633004327235355,-0.0928147789189353,-0.3619587471099237,-1.4048123345342702,-1.4699759384092097,-0.09142198374414079,-0.5180330338857573,-14.707655117674705,-5.924545616066432,-7.845141630350717,-6.304835862193414,-11.744273537913756,-6.878959003273366,4.694728581819724,3.162525696908993
VGG16,-1.8088152168088598,-1.2813725463717027,-0.9464895583855721,-0.9411444791758896,-0.06418701465625531,-0.93099364886071,0.044209357258246484,0.0463954594996423,-4.348816615755418,-4.605701124548872,-6.039162152842799,-0.5213843255962445,-4.715976059848124,6.128022708305664,-8.212485909433525,-11.428447203789126
VGG16_bn,-1.2695251022966119,-0.7287696365238467,-1.166947799735894,-1.4270266553835427,-0.5745701060214543,-0.3058721479444202,-0.029782330816694014,0.30359374828944397,-12.634944066529599,-8.72811110817267,-3.67946323788847,-7.667011163015065,-8.180074455474802,-7.586804479301897,-2.7848377111372926,0.04630813400338951
VGG19,-2.2543356043047,-1.2807033796763996,-0.9702236738672241,-1.5348897830864416,0.2100331280610206,-0.7084913901703764,0.14474846488200654,0.3302406407800973,-2.9727798258451585,-7.976510182634996,-6.615738638427473,-4.798355038146681,-6.352817768035791,-5.22662128222413,-3.9962342746276747,-0.30025407177540586
VGG19_bn,-0.6233020503528266,-0.23360492044672299,-0.3250586679292269,-0.10324948048856442,-0.25988949167876285,-0.301855254185849,-0.1477568555090727,0.1824531878469955,-8.618918602221562,-3.8824539542549914,-2.4873977439555723,-0.6300828851654927,-3.44494734157054,-4.209876082979491,-3.5215578362765854,4.948136520312389
vit_base_patch16_224,-1.4524778206879532,-1.2393482697477545,0.809949573001191,0.13002322485516515,-1.2150808170864664,0.11131685747022146,-1.0812466548958,-0.6293464218562761,9.58819290941522,6.005350404924123,2.1813359611483065,5.01213246160286,16.37042634809194,2.7846514476132427,2.159187368903531,2.3965362249841533
vit_large_patch16_224,-1.450162962417778,-0.9945810149227015,0.9006791686214157,0.04315101650613684,-0.8193981466198181,0.5971384044113783,-1.2191750628366762,-0.9833357548189738,4.313166021108238,9.68346398589054,-0.5264513013612699,-1.8260342316610618,-0.48567311478412023,8.367683461026857,-8.734202202787792,-11.721097795260796
wide_resnet50_2,-0.2991121556696541,-0.48229917290638014,-1.0060557128191832,-0.20856712479273654,0.007098902402631779,-0.28571649517488495,0.1846895593971567,0.3283562210794102,3.240674760969803,6.168213029178524,1.3836989375945308,4.246518329580489,6.363692266421282,-1.8424388065968031,-6.164038356462235,-1.4395985257716575
xception,-0.08911893690894601,-0.3022962028459695,-0.04956437153403215,-0.046591798665218676,0.04922766194584938,0.13040072781426915,0.1328689225036399,0.09999353238734443,1.497342746614862,1.528208095724871,1.4626451409672825,8.033377620187437,-2.062385971134937,-6.439470003549644,1.8595687572213961,-0.6858241033850234
